starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 19 12:43:43 2024	1726731823	0	5	5	5
Thu Sep 19 12:43:42 2024	1726731822	4	3	7	2
Thu Sep 19 12:43:42 2024	1726731822	4	3	7	2
Thu Sep 19 12:43:42 2024	1726731822	0	7	7	1
Thu Sep 19 12:43:42 2024	1726731822	5	3	7	2
Thu Sep 19 12:43:42 2024	1726731822	5	3	8	2
Thu Sep 19 12:43:42 2024	1726731822	5	3	8	2
Thu Sep 19 12:43:42 2024	1726731822	6	3	9	2
Thu Sep 19 12:43:42 2024	1726731822	6	3	9	2
Thu Sep 19 12:43:42 2024	1726731822	6	3	9	2
Thu Sep 19 12:43:42 2024	1726731822	6	3	9	2
Thu Sep 19 12:43:42 2024	1726731822	6	3	9	3
Thu Sep 19 12:43:42 2024	1726731822	6	3	9	2
Thu Sep 19 12:43:42 2024	1726731822	6	3	9	2
Thu Sep 19 12:43:42 2024	1726731822	6	3	9	2
Thu Sep 19 12:43:42 2024	1726731822	6	3	9	2
Thu Sep 19 12:43:42 2024	1726731822	6	3	9	2
Thu Sep 19 12:43:42 2024	1726731822	6	3	9	2
Thu Sep 19 12:43:43 2024	1726731823	3	9	12	6
Thu Sep 19 12:43:42 2024	1726731822	5	9	14	9
Thu Sep 19 12:43:43 2024	1726731823	0	16	16	15
Thu Sep 19 12:43:43 2024	1726731823	0	16	16	13
Thu Sep 19 12:43:42 2024	1726731822	6	11	17	10
Thu Sep 19 12:43:42 2024	1726731822	6	11	17	11
Thu Sep 19 12:43:42 2024	1726731822	6	12	17	11
Thu Sep 19 12:43:43 2024	1726731823	3	15	18	14
Thu Sep 19 12:43:42 2024	1726731822	6	12	18	11
Thu Sep 19 12:43:42 2024	1726731822	6	12	18	11
Thu Sep 19 12:43:42 2024	1726731822	6	13	19	11
Thu Sep 19 12:43:43 2024	1726731823	4	15	19	14
Thu Sep 19 12:43:42 2024	1726731822	6	13	19	12
Thu Sep 19 12:43:43 2024	1726731823	4	15	19	14
Thu Sep 19 12:43:42 2024	1726731822	6	13	19	12
Thu Sep 19 12:43:43 2024	1726731823	4	15	19	14
Thu Sep 19 12:43:43 2024	1726731823	4	15	19	14
Thu Sep 19 12:43:43 2024	1726731823	10	11	21	8
Thu Sep 19 12:43:43 2024	1726731823	10	11	21	8
Thu Sep 19 12:43:43 2024	1726731823	10	11	21	8
Thu Sep 19 12:43:43 2024	1726731823	4	17	22	17
Thu Sep 19 12:43:43 2024	1726731823	10	11	22	8
Thu Sep 19 12:43:43 2024	1726731823	4	17	22	17
Thu Sep 19 12:43:43 2024	1726731823	6	16	22	13
Thu Sep 19 12:43:43 2024	1726731823	4	17	22	17
Thu Sep 19 12:43:43 2024	1726731823	10	12	22	8
Thu Sep 19 12:43:43 2024	1726731823	12	10	22	8
Thu Sep 19 12:43:43 2024	1726731823	6	16	22	12
Thu Sep 19 12:43:43 2024	1726731823	12	10	22	8
Thu Sep 19 12:43:43 2024	1726731823	4	19	22	16
Thu Sep 19 12:43:43 2024	1726731823	11	11	22	8
Thu Sep 19 12:43:43 2024	1726731823	5	17	22	17
Thu Sep 19 12:43:43 2024	1726731823	3	19	22	16
Thu Sep 19 12:43:43 2024	1726731823	10	12	22	8
Thu Sep 19 12:43:43 2024	1726731823	12	11	22	8
Thu Sep 19 12:43:43 2024	1726731823	4	19	22	16
Thu Sep 19 12:43:43 2024	1726731823	12	11	23	8
Thu Sep 19 12:43:43 2024	1726731823	6	16	23	15
Thu Sep 19 12:43:43 2024	1726731823	12	11	23	8
Thu Sep 19 12:43:43 2024	1726731823	2	20	23	20
Thu Sep 19 12:43:43 2024	1726731823	12	11	23	8
Thu Sep 19 12:43:43 2024	1726731823	7	16	23	15
