starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 19 12:43:20 2024	1726731800	0	3	3	3
Thu Sep 19 12:43:20 2024	1726731800	4	2	6	2
Thu Sep 19 12:43:20 2024	1726731800	4	2	6	2
Thu Sep 19 12:43:20 2024	1726731800	2	4	6	4
Thu Sep 19 12:43:20 2024	1726731800	4	2	6	2
Thu Sep 19 12:43:20 2024	1726731800	4	2	6	2
Thu Sep 19 12:43:20 2024	1726731800	4	2	6	2
Thu Sep 19 12:43:20 2024	1726731800	4	2	7	2
Thu Sep 19 12:43:20 2024	1726731800	5	2	7	2
Thu Sep 19 12:43:20 2024	1726731800	4	3	7	2
Thu Sep 19 12:43:20 2024	1726731800	0	7	7	0
Thu Sep 19 12:43:20 2024	1726731800	4	3	7	2
Thu Sep 19 12:43:20 2024	1726731800	4	3	7	2
Thu Sep 19 12:43:20 2024	1726731800	4	3	7	2
Thu Sep 19 12:43:20 2024	1726731800	4	3	7	2
Thu Sep 19 12:43:20 2024	1726731800	2	5	7	4
Thu Sep 19 12:43:20 2024	1726731800	4	3	8	2
Thu Sep 19 12:43:20 2024	1726731800	2	5	8	5
Thu Sep 19 12:43:20 2024	1726731800	3	5	8	4
Thu Sep 19 12:43:20 2024	1726731800	3	5	8	5
Thu Sep 19 12:43:20 2024	1726731800	5	3	8	2
Thu Sep 19 12:43:20 2024	1726731800	5	3	8	2
Thu Sep 19 12:43:20 2024	1726731800	3	6	8	5
Thu Sep 19 12:43:20 2024	1726731800	5	4	8	2
Thu Sep 19 12:43:20 2024	1726731800	3	5	8	5
Thu Sep 19 12:43:20 2024	1726731800	5	4	8	2
Thu Sep 19 12:43:20 2024	1726731800	0	8	8	7
Thu Sep 19 12:43:20 2024	1726731800	3	6	8	5
Thu Sep 19 12:43:20 2024	1726731800	3	6	8	5
Thu Sep 19 12:43:20 2024	1726731800	3	6	8	5
Thu Sep 19 12:43:20 2024	1726731800	5	4	8	4
Thu Sep 19 12:43:20 2024	1726731800	0	8	9	7
Thu Sep 19 12:43:20 2024	1726731800	3	6	9	5
Thu Sep 19 12:43:20 2024	1726731800	1	8	9	7
Thu Sep 19 12:43:20 2024	1726731800	3	6	9	5
Thu Sep 19 12:43:20 2024	1726731800	1	8	9	7
Thu Sep 19 12:43:20 2024	1726731800	1	8	9	7
Thu Sep 19 12:43:20 2024	1726731800	5	4	9	4
Thu Sep 19 12:43:20 2024	1726731800	0	9	9	7
Thu Sep 19 12:43:20 2024	1726731800	1	8	9	7
Thu Sep 19 12:43:20 2024	1726731800	4	6	9	5
Thu Sep 19 12:43:20 2024	1726731800	4	5	9	5
Thu Sep 19 12:43:20 2024	1726731800	5	4	9	4
Thu Sep 19 12:43:20 2024	1726731800	4	6	9	5
Thu Sep 19 12:43:20 2024	1726731800	0	9	9	7
Thu Sep 19 12:43:20 2024	1726731800	5	4	9	4
Thu Sep 19 12:43:20 2024	1726731800	1	8	9	8
Thu Sep 19 12:43:20 2024	1726731800	1	8	9	7
Thu Sep 19 12:43:20 2024	1726731800	5	4	9	4
Thu Sep 19 12:43:20 2024	1726731800	1	8	9	7
Thu Sep 19 12:43:20 2024	1726731800	1	9	10	7
Thu Sep 19 12:43:20 2024	1726731800	1	9	10	7
Thu Sep 19 12:43:20 2024	1726731800	5	5	10	4
Thu Sep 19 12:43:20 2024	1726731800	5	5	10	4
Thu Sep 19 12:43:20 2024	1726731800	6	4	10	3
Thu Sep 19 12:43:20 2024	1726731800	5	5	10	4
Thu Sep 19 12:43:20 2024	1726731800	4	6	10	4
Thu Sep 19 12:43:20 2024	1726731800	6	4	10	3
Thu Sep 19 12:43:20 2024	1726731800	4	6	10	4
Thu Sep 19 12:43:20 2024	1726731800	5	5	10	4
Thu Sep 19 12:43:20 2024	1726731800	6	4	10	3
Thu Sep 19 12:43:20 2024	1726731800	4	6	10	5
Thu Sep 19 12:43:20 2024	1726731800	4	6	10	5
Thu Sep 19 12:43:20 2024	1726731800	4	6	10	4
Thu Sep 19 12:43:20 2024	1726731800	3	7	10	6
Thu Sep 19 12:43:20 2024	1726731800	5	5	10	4
Thu Sep 19 12:43:20 2024	1726731800	2	8	10	8
Thu Sep 19 12:43:20 2024	1726731800	1	9	11	8
Thu Sep 19 12:43:20 2024	1726731800	3	7	11	6
Thu Sep 19 12:43:20 2024	1726731800	6	5	11	4
Thu Sep 19 12:43:20 2024	1726731800	1	9	11	8
Thu Sep 19 12:43:20 2024	1726731800	3	7	11	7
Thu Sep 19 12:43:20 2024	1726731800	3	8	11	5
Thu Sep 19 12:43:20 2024	1726731800	1	9	11	8
Thu Sep 19 12:43:20 2024	1726731800	6	5	11	4
Thu Sep 19 12:43:20 2024	1726731800	5	6	11	6
Thu Sep 19 12:43:20 2024	1726731800	6	5	11	4
Thu Sep 19 12:43:20 2024	1726731800	1	9	11	8
Thu Sep 19 12:43:20 2024	1726731800	3	8	11	5
Thu Sep 19 12:43:20 2024	1726731800	6	5	11	4
Thu Sep 19 12:43:20 2024	1726731800	4	7	11	4
Thu Sep 19 12:43:20 2024	1726731800	1	10	11	8
Thu Sep 19 12:43:20 2024	1726731800	3	8	11	5
Thu Sep 19 12:43:20 2024	1726731800	4	7	11	4
Thu Sep 19 12:43:20 2024	1726731800	2	10	11	8
Thu Sep 19 12:43:20 2024	1726731800	0	11	11	10
Thu Sep 19 12:43:20 2024	1726731800	0	11	11	10
Thu Sep 19 12:43:20 2024	1726731800	4	7	11	6
Thu Sep 19 12:43:20 2024	1726731800	0	11	11	10
Thu Sep 19 12:43:20 2024	1726731800	2	10	11	9
Thu Sep 19 12:43:20 2024	1726731800	2	10	11	4
Thu Sep 19 12:43:20 2024	1726731800	2	10	11	9
Thu Sep 19 12:43:20 2024	1726731800	3	8	11	8
Thu Sep 19 12:43:20 2024	1726731800	2	10	12	9
Thu Sep 19 12:43:20 2024	1726731800	6	5	12	3
Thu Sep 19 12:43:20 2024	1726731800	5	7	12	7
Thu Sep 19 12:43:20 2024	1726731800	0	11	12	11
Thu Sep 19 12:43:20 2024	1726731800	0	12	12	11
Thu Sep 19 12:43:20 2024	1726731800	8	4	12	4
Thu Sep 19 12:43:20 2024	1726731800	4	8	12	5
Thu Sep 19 12:43:20 2024	1726731800	6	6	12	6
Thu Sep 19 12:43:20 2024	1726731800	2	10	12	9
Thu Sep 19 12:43:20 2024	1726731800	8	4	12	4
Thu Sep 19 12:43:20 2024	1726731800	2	10	12	10
Thu Sep 19 12:43:20 2024	1726731800	2	10	12	10
Thu Sep 19 12:43:20 2024	1726731800	4	8	12	5
Thu Sep 19 12:43:20 2024	1726731800	8	4	12	4
Thu Sep 19 12:43:20 2024	1726731800	8	4	12	4
Thu Sep 19 12:43:20 2024	1726731800	8	4	12	4
Thu Sep 19 12:43:20 2024	1726731800	4	8	12	5
Thu Sep 19 12:43:20 2024	1726731800	4	8	12	5
Thu Sep 19 12:43:20 2024	1726731800	4	8	12	5
Thu Sep 19 12:43:20 2024	1726731800	2	10	12	9
Thu Sep 19 12:43:20 2024	1726731800	2	10	12	10
Thu Sep 19 12:43:20 2024	1726731800	4	8	12	8
Thu Sep 19 12:43:20 2024	1726731800	3	9	12	8
Thu Sep 19 12:43:20 2024	1726731800	4	8	12	5
Thu Sep 19 12:43:20 2024	1726731800	2	10	12	9
Thu Sep 19 12:43:20 2024	1726731800	2	10	12	10
Thu Sep 19 12:43:20 2024	1726731800	6	6	12	6
Thu Sep 19 12:43:20 2024	1726731800	2	10	12	9
Thu Sep 19 12:43:20 2024	1726731800	4	8	12	5
Thu Sep 19 12:43:20 2024	1726731800	4	8	12	5
Thu Sep 19 12:43:20 2024	1726731800	5	7	12	7
Thu Sep 19 12:43:20 2024	1726731800	2	10	12	10
Thu Sep 19 12:43:20 2024	1726731800	2	11	12	9
Thu Sep 19 12:43:20 2024	1726731800	3	10	12	9
Thu Sep 19 12:43:20 2024	1726731800	4	8	13	5
Thu Sep 19 12:43:20 2024	1726731800	5	7	13	5
Thu Sep 19 12:43:20 2024	1726731800	3	10	13	8
Thu Sep 19 12:43:20 2024	1726731800	2	10	13	10
Thu Sep 19 12:43:20 2024	1726731800	4	9	13	4
Thu Sep 19 12:43:20 2024	1726731800	3	10	13	8
Thu Sep 19 12:43:20 2024	1726731800	4	8	13	5
Thu Sep 19 12:43:20 2024	1726731800	5	7	13	5
Thu Sep 19 12:43:20 2024	1726731800	3	10	13	8
Thu Sep 19 12:43:20 2024	1726731800	4	9	13	6
Thu Sep 19 12:43:20 2024	1726731800	2	11	13	10
Thu Sep 19 12:43:20 2024	1726731800	8	5	13	3
Thu Sep 19 12:43:20 2024	1726731800	4	9	13	6
Thu Sep 19 12:43:20 2024	1726731800	2	11	13	11
Thu Sep 19 12:43:20 2024	1726731800	3	10	13	10
Thu Sep 19 12:43:20 2024	1726731800	8	6	13	4
Thu Sep 19 12:43:20 2024	1726731800	4	9	13	6
Thu Sep 19 12:43:20 2024	1726731800	5	8	13	8
Thu Sep 19 12:43:20 2024	1726731800	0	13	13	7
Thu Sep 19 12:43:20 2024	1726731800	2	11	13	11
Thu Sep 19 12:43:20 2024	1726731800	4	9	13	6
Thu Sep 19 12:43:20 2024	1726731800	5	8	13	8
Thu Sep 19 12:43:20 2024	1726731800	3	11	13	9
Thu Sep 19 12:43:20 2024	1726731800	3	10	13	7
Thu Sep 19 12:43:20 2024	1726731800	2	11	13	11
Thu Sep 19 12:43:20 2024	1726731800	4	9	13	6
Thu Sep 19 12:43:20 2024	1726731800	5	8	13	8
Thu Sep 19 12:43:20 2024	1726731800	3	11	13	9
Thu Sep 19 12:43:20 2024	1726731800	0	13	13	10
Thu Sep 19 12:43:20 2024	1726731800	6	7	13	7
Thu Sep 19 12:43:20 2024	1726731800	0	13	13	8
Thu Sep 19 12:43:20 2024	1726731800	4	10	13	9
Thu Sep 19 12:43:20 2024	1726731800	6	7	13	7
Thu Sep 19 12:43:20 2024	1726731800	3	11	14	9
Thu Sep 19 12:43:20 2024	1726731800	3	11	14	11
